Name,Number of Samples,Runtime [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Concentrations,Concentration Error [%]
seven_samples,7,1871.1419849395752," 0 0 2550 1590
",300600,9%," 13852 um.
",100,17.312012546240243
,,,,,,,100,1.0904327218086676
,,,,,,,100,17.22411214448224
,,,,,,,100,2.824850756497013
,,,,,,,100,5.351420307028399
,,,,,,,100,2.3072084461441795
,,,,,,,100,0.7831572156631481
seven_samples,7,1858.0817589759827," 0 0 2550 1590
",318600,10%," 12652 um.
",50,4.866676815332914
,,,,,,,100,5.960770549019256
,,,,,,,100,2.9237059230926645
,,,,,,,100,1.9690131992253188
,,,,,,,100,3.192753929818855
,,,,,,,100,0.5110105127752647
,,,,,,,100,1.1310123782752974
seven_samples,7,1811.5562443733215," 0 0 2550 1590
",709200,22%," 11752 um.
",15,2.9913130574767903
,,,,,,,62,1.624193324330619
,,,,,,,93,1.0449982257438846
,,,,,,,91,2.5755030257550273
,,,,,,,102,4.8279095186593555
,,,,,,,247,2.1310650559541777
,,,,,,,227,5.080913671920734
seven_samples,7,1821.1758489608765," 0 0 2550 1590
",1357200,42%," 8993 um.
",5,2.1799396767903394
,,,,,,,43,2.6216928905130885
,,,,,,,58,3.8743522754912627
,,,,,,,80,6.270097651446937
,,,,,,,53,2.151983443039665
,,,,,,,81,0.4678675463137156
,,,,,,,240,0.20875889930412594
