Name,Number of Samples,Runtime [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Concentrations,Error List
ketone,2,74.91711473464966," 0 0 2550 1590
",721800,22%," 2578 um.
",4.9999999999999996e-06,2.6598403999999882
,,,,,,,0.000195,0.06820102564101915
two_samples,2,63.48688626289368," 0 0 2550 1590
",55800,2%," 1348 um.
",100,2.019128400000003
,,,,,,,100,2.019128400000003
two_samples,2,54.92582941055298," 0 0 2550 1590
",75600,2%," 1348 um.
",50,2.3210292232102945
,,,,,,,100,1.160514594197428
two_samples,2,153.67904043197632," 0 0 2550 1590
",381600,12%," 1408 um.
",5,8.53050344347484
,,,,,,,100,0.4265252260663149
